Sku,Each Locations,Case Pick Locations,Reserve Locations,Unit Quantity,Case Pick Quantity,Reserve Quantity,Units To Be Picked Quantity,Case Pick To Be Picked Quantity,Reserve To Be Picked Quantity,Unit Replenishment Quantity,Case Pick Replenishment Quantity,Standard Pack Quantity,Packs Per Case,Standard Case Quantity,Packs Per Layer,Layers,Case Pick Maximum,Case Pick Minimum,Unit Maximum,Unit Minimum,Put Away Zone,Active Country Of Origin,Reserve Country Of Origin
100,,06-209-2-3,"09-439-2-1, 09-442-5-1, 46-686-1-1",,7,"325, 175, 450",,0,"0, 0, 0",,0,1,175,175,25,7,13,7,,,009,,
100-12,51-260C,,01-183D,5,,20,0,,0,0,,1,1288,1288,56,23,,,10,5,"01R, EAE, EAW",,
100-21,51-272E,,01-162E,5,,23,0,,0,0,,1,1200,1200,120,10,,,6,3,"01R, EAE, EAW",,
100-21AL,51-396D,,01-168A,22,,9,0,,0,0,,1,1200,1200,120,10,,,24,12,"01R, EAE, EAW",,
100-21BP,51-288B,,01-148E,4,,6,0,,0,0,,1,1200,1200,120,10,,,6,3,"01R, EAE, EAW",,
100-21M,51-264C,,01-191C,4,,2,0,,0,0,,1,1200,1200,120,10,,,6,3,"01R, EAE, EAW",,
100-30,51-272F,,01-161C,150,,30,0,,0,0,,1,40000,40000,500,80,,,200,100,"01R, EAE, EAW",,
100-GK,51-201F,,01-161C,21,,30,0,,0,0,,1,6000,6000,15,400,,,25,12,"01R, EAE, EAW",,
100-W30,,02-119-2-5,02-429A,,15,131,,0,0,,0,1,196,196,28,7,13,7,,,009,,
101,51-424D,,"15-441-3-2, 22-452-3-1",20,,"29, 8",0,,"0, 0",0,,18,90,1620,15,6,,,38,20,VNA,,
101-30,51-432E,,"15-439-2-1, 16-406-4-2, 21-458-1-2",22,,"62, 79, 74",0,,"0, 0, 0",0,,18,90,1620,15,6,,,20,2,VNA,,
102831 PART,51-217B,,01-109C,100,,500,0,,0,0,,1,118272,118272,3584,33,,,500,250,"01R, EAE, EAW",,
118257 PART,51-472D,,01-186B,0,,32,0,,0,0,,1,320,320,2,160,,,3,2,"01R, EAE, EAW",,
140-50 KIT,57-455C,,01-140A,291,,2005,0,,0,0,,1,3300,3300,55,60,,,500,250,"01R, EAE, EAW",,
151,51-426D,,"16-474-1-1, 21-437-1-2",22,,"17, 20",0,,"0, 0",0,,18,36,648,12,3,,,24,6,VNA,,
151-30,51-440D,,"15-447-4-1, 22-476-1-1, 22-476-2-1",28,,"33, 12, 29",0,,"0, 0, 0",0,,18,36,648,12,3,,,20,2,VNA,,
151-W,51-418C,,"16-472-1-2, 22-423-4-2",14,,"8, 36",0,,"0, 0",0,,18,36,648,12,3,,,21,3,VNA,,
18002,55-401D,,02-662C,6,,3,0,,0,0,,6,80,480,20,4,,,18,6,RS4,,
18003,54-234D,,02-549D,12,,7,0,,0,0,,6,120,720,30,4,,,20,8,RS4,TW,TW
18004,56-462D,,"02-601B, 99-999Z",1,,"2, 1",0,,"0, 1",6,,6,75,450,15,5,,,9,3,RS4,TW,"TW, TW"
18007,53-257D,,"01-117F, 66-139A",12,,"34, 19",0,,"0, 0",0,,6,36,216,9,4,,,16,10,RS4,CN,"CN, CN"
18009,55-232D,,02-702F,9,,5,0,,0,0,,6,60,360,30,2,,,11,5,RS4,TW,TW
18010,54-241E,,"02-853B, 04-145C",9,,"1, 22",0,,"0, 0",0,,6,24,144,6,4,,,12,6,RS4,TW,"TW, TW"
18022,09-910-5-3,,"04-193D, 99-999Z",10,,"24, 1",0,,"0, 1",6,,6,60,360,10,6,,,18,12,VNA,TW,"TW, TW"
18024,55-432D,,"02-461E, 99-999Z",6,,"13, 1",0,,"0, 1",6,,6,60,360,10,6,,,13,7,RS2,CN,"CN, CN"
18025,54-214D,,"02-258B, 02-270C",12,,"4, 3",0,,"0, 0",0,,6,60,360,10,6,,,13,7,RS2,CN,"CN, TW"
18027,52-424E,,"14-450-4-1, 17-469-1-2, 17-471-2-1, 17-471-5-2, 17-474-5-1",13,,"2, 24, 24, 24, 24",1,,"0, 0, 0, 0, 0",0,,6,24,144,6,4,,,18,12,VNA,TW,"TW, TW, TW, TW, TW"
18029,06-903-2-1,,22-441-1-2,16,,34,0,,0,0,,6,48,288,8,6,,,14,8,VNA,TW,TW
18032,56-420D,,08-132M,15,,13,0,,0,0,,6,120,720,24,5,,,16,10,RS4,CN,CN
18033,59-906-4-1,,19-458B,8,,4,0,,0,0,,6,60,360,10,6,,,9,3,VNA,CN,CN
18034,56-416D,,19-269F,9,,16,0,,0,0,,6,60,360,10,6,,,10,4,RS6,TW,TW
18055,55-423D,,02-837H,12,,26,0,,0,0,,6,120,720,30,4,,,20,8,RS4,CN,CN
18057,54-906-2-1,,19-374I,3,,11,0,,0,0,,6,36,216,12,3,,,8,2,VNA,TW,TW
18104,55-205D,,09-188M,12,,5,0,,0,0,,6,120,720,24,5,,,20,8,RS4,CN,CN
